capture	rank	msprof_rc	output_sha256	tokens_sha256	events	anchors	captured_instances	capture_stream_rows	graph_launches	body_templates	body_tasks	body_streams	body_hashes	nodes	topology_sha256	exact_units	launch_members	recognized_regions	unknown_regions	unknown_statuses	analysis_status	collection_status
capture-1	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84543	2801	38	152	28	1	9	2	16470478170119524675	-	-	28	28	28	0	-	ok	unknown
capture-1	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84356	2806	38	152	28	1	9	2	16470478170119524675	-	-	27	27	27	1	unrecognized_missing_completion_evidence:1	ok	unknown
capture-2	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	83664	2806	38	152	28	1	9	2	16470478170119524675	-	-	27	27	27	1	unrecognized_missing_completion_evidence:1	ok	unknown
capture-2	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84467	2799	38	152	28	1	9	2	16470478170119524675	-	-	28	28	28	0	-	ok	unknown
capture-3	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	83058	2806	38	152	28	1	9	2	16470478170119524675	-	-	27	27	27	1	unrecognized_missing_completion_evidence:1	ok	unknown
capture-3	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84889	2843	38	152	29	1	411	2	5933614199419680576	-	-	28	28	28	1	unrecognized_missing_completion_evidence:1	ok	unknown
