capture	rank	msprof_rc	output_sha256	tokens_sha256	events	anchors	captured_instances	capture_stream_rows	graph_launches	body_templates	body_tasks	body_streams	body_hashes	nodes	topology_sha256	exact_units	launch_members	recognized_regions	unknown_regions	unknown_statuses	analysis_status	collection_status
capture-1	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84517	2723	38	153	28	0	-	-	-	189	5afa81087078e9741a968300af32dd7efb3cbfc35085ae4b6c5e4dbed61c525d	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
capture-1	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84357	2799	38	153	28	0	-	-	-	192	4c415884aa244108da4faa2da25a6c8ab1d4f4e51bdfbba448ac1317b45e349b	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
capture-2	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	83665	2799	38	153	28	0	-	-	-	192	4c415884aa244108da4faa2da25a6c8ab1d4f4e51bdfbba448ac1317b45e349b	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
capture-2	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84441	2721	38	153	28	0	-	-	-	187	dd431eed5ea1c4dad9b029961fd556bf684b99d0c1cea1b9ce844ce9b9cde36b	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
capture-3	0	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	83059	2799	38	153	28	0	-	-	-	192	4c415884aa244108da4faa2da25a6c8ab1d4f4e51bdfbba448ac1317b45e349b	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
capture-3	1	0	9d151beec5d659846087f0b6fd97e643315a94321bdb0bef39652a6c6a9476de	6073a9051cc1c7bb0ea17d704e9bd4ca9abf69ac238f1e31ac0ff89560900c90	84863	2721	38	153	29	0	-	-	-	187	dd431eed5ea1c4dad9b029961fd556bf684b99d0c1cea1b9ce844ce9b9cde36b	0	0	0	1	unrecognized_missing_completion_evidence:1	invalid_input	unknown
